               0.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
               3.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
               6.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
               9.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
              12.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
              15.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
              18.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
              21.000              0.000000000              0.000000000              0.000000000              0.000000000              0.000000000
              24.000              4.991373539              4.995145321              4.997841835              4.980617046              4.999222755
              27.000            279.366516113            279.643341064            279.841400146            278.578186035            279.942871094
              30.000           1590.382324219           1593.272216797           1595.341552734           1582.170898438           1596.402587891
              33.000           3354.865234375           3365.829101562           3373.691406250           3323.816406250           3377.727050781
              36.000           4074.627929688           4097.440429688           4113.830566406           4010.294677734           4122.252929688
              39.000           4072.264892578           4107.804199219           4133.398437500           3972.572998047           4146.570312500
              42.000           4108.111816406           4157.104492188           4192.475585938           3971.451660156           4210.707519531
              45.000           4093.731201172           4155.356933594           4199.960937500           3922.805908203           4222.989257812
              48.000           4118.255859375           4193.793945312           4248.615722656           3910.006591797           4276.967285156
              51.000           4056.706054688           4143.980468750           4207.484863281           3817.500732422           4240.381347656
              54.000           3922.099121094           4019.357910156           4090.319091797           3657.134521484           4127.140625000
              57.000           3937.262207031           4047.574218750           4128.273437500           3638.511230469           4170.217773438
              60.000           3924.153076172           4046.723144531           4136.628417969           3594.170410156           4183.436523438
              63.000           3872.382080078           4006.152587891           4104.541015625           3514.429687500           4155.853515625
              66.000           3881.493652344           4028.598632812           4137.093261719           3490.268066406           4193.774414062
              69.000           3867.640869141           4026.741943359           4144.395507812           3447.001708984           4205.964355469
              72.000           3807.032714844           3976.267089844           4101.753906250           3362.295166016           4167.534179688
              75.000           3688.044677734           3864.139160156           3995.063232422           3228.026855469           4063.809814453
              78.000           3610.217529297           3794.760009766           3932.341308594           3131.054687500           4004.708251953
              81.000           3647.426025391           3845.869628906           3994.208740234           3135.205810547           4072.365234375
              84.000           3666.166992188           3877.802978516           4036.428955078           3123.136474609           4120.146484375
              87.000           3650.793457031           3873.921875000           4041.619140625           3081.729248047           4130.276367188
              90.000           3606.972412109           3839.634277344           4014.971679688           3017.149658203           4107.826660156
              93.000           3543.073974609           3783.584716797           3965.328369141           2936.991943359           4061.739990234
              96.000           3493.542724609           3742.550292969           3931.224365234           2869.788574219           4031.483154297
              99.000           3544.187255859           3808.682617188           4009.626708984           2885.525634766           4116.584960938
             102.000           3529.122070312           3804.338378906           4013.984130859           2847.774658203           4125.761230469
             105.000           3436.262695312           3716.228271484           3930.080322266           2747.355957031           4044.298095703
             108.000           3428.828369141           3719.988525391           3942.995605469           2716.639160156           4062.306396484
             111.000           3340.590332031           3635.388427734           3861.772949219           2623.641601562           3983.090087891
             114.000           3366.160400391           3675.344970703           3913.447753906           2618.871826172           4041.271240234
             117.000           3383.877929688           3706.133056641           3954.955810547           2609.493408203           4088.756103516
             120.000           3370.922363281           3703.963867188           3961.829589844           2575.474121094           4100.734863281
             123.000           3341.783691406           3683.218261719           3948.274658203           2530.953857422           4091.288330078
             126.000           3270.398925781           3616.160644531           3885.313232422           2454.212402344           4030.788085938
             129.000           3350.062011719           3716.048339844           4001.718994141           2491.253662109           4156.385742188
             132.000           3342.584228516           3719.400878906           4014.311279297           2463.511962891           4174.249023438
             135.000           3213.322998047           3586.608154297           3879.523925781           2347.478759766           4038.642822266
             138.000           3166.754882812           3546.330322266           3845.021728516           2291.718261719           4007.565917969
             141.000           3203.276611328           3598.438476562           3910.221679688           2297.573730469           4080.174072266
             144.000           3117.068115234           3512.672363281           3825.647216797           2215.661621094           3996.538574219
             147.000           3122.639648438           3530.437988281           3853.956054688           2199.046630859           4030.912841797
             150.000           3163.132812500           3587.179443359           3924.465576172           2208.171142578           4109.255859375
             153.000           3063.655517578           3485.367919922           3821.700927734           2119.492919922           4006.281250000
             156.000           3073.909423828           3508.583740234           3856.229736328           2106.647705078           4047.356201172
             159.000           3095.399658203           3544.135253906           3903.980224609           2102.578613281           4102.143066406
             162.000           3026.545654297           3476.240966797           3837.824707031           2037.375854492           4037.281982422
             165.000           3001.191894531           3458.008056641           3826.304199219           2002.186523438           4029.807373047
             168.000           2986.911621094           3452.376708984           3828.650390625           1974.865966797           4036.911621094
             171.000           2962.404541016           3434.968261719           3818.016357422           1940.928466797           4030.388916016
             174.000           2958.682861328           3441.561279297           3834.028320312           1920.983886719           4051.992431641
             177.000           2918.143554688           3404.928955078           3801.614990234           1877.982299805           4022.287597656
             180.000           2833.364257812           3316.614746094           3711.494384766           1806.808105469           3931.538818359
             183.000           2855.527832031           3353.339355469           3761.231933594           1804.263305664           3988.919433594
             186.000           2854.985107422           3363.277832031           3780.875976562           1787.763183594           4014.374267578
             189.000           2843.077392578           3359.973144531           3785.793945312           1764.117309570           4024.296875000
             192.000           2840.083740234           3366.785156250           3801.822021484           1746.829345703           4045.888427734
             195.000           2781.758544922           3308.184814453           3744.175537109           1695.423583984           3989.194580078
             198.000           2788.068359375           3326.386962891           3773.449951172           1683.704589844           4025.124755859
             201.000           2768.975097656           3313.902099609           3767.650390625           1657.372192383           4023.513427734
             204.000           2826.852539062           3394.165771484           3867.859619141           1676.404541016           4135.433593750
             207.000           2811.657470703           3386.304443359           3867.374023438           1652.823242188           4139.559570312
             210.000           2633.442138672           3181.845703125           3642.196777344           1533.952514648           3903.106689453
